"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
5,0,0,0,1,1,0,0,0,1,1,0.51155736518707,0.416393225167193,-0.708533549793646
5,1,0,0,1,1,0,0,0,1,1,1.48167579488671,1.06794377533888,1.92608609636802
4.5,0,0,0,0,0,0,0,0,1,1,0.615363059594818,-0.886707875176182,-0.708533549793646
4.5,0,0,1,1,1,0,0,0,1,1,0.673699214695872,1.06794377533888,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,0.705682897143093,1.06794377533888,1.45832758330226
4.5,0,0,0,1,1,0,0,0,1,1,1.49419673578842,0.416393225167193,-0.708533549793646
5,1,0,1,1,1,0,0,0,1,0,1.095731115902,1.06794377533888,1.69344362026745
3.5,0,0,0,1,1,0,0,0,0,0,0.196551678390426,-0.886707875176182,-0.708533549793646
4,0,0,0,1,1,0,0,0,1,0,1.03651668562798,-0.235157325004494,-0.708533549793646
4,1,0,0,1,1,0,0,0,1,0,0.554807063196578,0.416393225167193,1.36738157600041
4.5,1,0,1,1,0,0,1,0,1,0,-0.587852633124779,1.06794377533888,0.678601044573392
4.5,0,0,0,0,1,1,0,0,1,1,0.830624908117933,0.416393225167193,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,0,1.46587028170322,-0.235157325004494,-0.708533549793646
4.5,1,0,0,0,0,0,0,0,1,0,0.713004940475342,-0.886707875176182,1.46274121661212
5,0,0,0,1,1,0,0,0,1,0,1.52408180177508,-0.235157325004494,-0.708533549793646
5,0,0,0,1,1,0,0,0,1,1,1.29076958563177,0.416393225167193,-0.708533549793646
4.5,1,0,0,1,1,0,0,0,1,1,1.30803475857752,1.06794377533888,1.82141751861768
4.5,1,0,0,0,1,0,0,0,1,1,1.42103709789678,0.416393225167193,1.8895338717011
5,1,0,0,1,1,0,0,0,1,1,-0.141950853587942,1.06794377533888,0.947384887796703
4.5,0,0,0,1,1,0,0,0,1,0,1.17667387719099,-0.235157325004494,-0.708533549793646
4.5,0,0,0,0,1,1,0,0,1,1,0.823104941361158,0.416393225167193,-0.708533549793646
4.5,1,0,1,1,1,0,0,0,1,0,-0.0483569005163314,1.06794377533888,1.00380211590281
