"score_review","CarimboTripAdvisor","Patrocinado","Breakfast","WiFi_gratuito","Estacionamento_gratuito","Piscina","Restaurante","Servico_quartos","Tomar_medidas_seguranca","Visitar_website_hotel","logavaliacoes","n_bin_true","CarimboTripAdvisor_x_logavaliacoes"
4.5,1,0,0,1,1,0,0,0,1,0,8.05356916913454,4,8.05356916913454
4.5,1,0,0,0,1,1,0,0,1,0,8.75273950944749,4,8.75273950944749
4.5,0,0,1,1,1,0,0,0,1,1,6.5410299991899,5,0
4.5,0,0,0,1,1,0,0,0,1,0,6.98286275146894,3,0
5,0,0,0,1,1,0,0,0,1,0,8.18479265416508,3,0
4.5,0,0,0,1,1,0,0,0,1,1,8.12237124340655,4,0
4.5,1,0,1,1,1,0,0,0,1,1,5.27299955856375,6,5.27299955856375
4.5,1,0,0,1,1,0,0,0,1,1,7.8046592970561,5,7.8046592970561
4.5,1,0,0,1,1,0,0,0,1,1,8.08301991917133,5,8.08301991917133
4,0,0,0,1,1,0,0,0,0,1,4.33073334028633,3,0
4,1,0,1,1,1,0,0,0,1,0,6.74405918631135,5,6.74405918631135
3,0,0,0,0,0,0,1,1,0,0,7.0475172213573,2,0
5,1,1,1,1,1,1,1,0,1,0,5.80211837537706,8,5.80211837537706
4.5,0,0,0,1,1,0,0,0,1,0,7.95892649305011,3,0
5,0,0,1,1,1,0,0,0,0,1,4.06044301054642,4,0
4,0,0,0,1,1,0,0,0,1,0,6.94985645500077,3,0
4,1,0,0,1,1,0,0,0,1,1,7.12929754892937,5,7.12929754892937
4.5,1,0,0,1,1,0,0,0,1,0,6.7696419768525,4,6.7696419768525
3.5,0,0,0,1,0,1,0,0,0,0,5.97888576490112,2,0
3.5,0,0,1,1,1,0,0,0,0,0,5.53338948872752,3,0
4,0,0,1,1,1,0,0,0,1,1,3.25809653802148,5,0
2.5,0,0,0,1,0,1,0,0,0,0,5.85507192220243,2,0
4.5,1,1,0,1,1,1,1,0,1,0,8.50815244676409,7,8.50815244676409
5,1,0,0,1,1,0,0,0,1,0,7.4730690880322,4,7.4730690880322
4.5,0,0,0,1,1,0,0,0,1,0,7.56320059235807,3,0
4.5,1,0,0,1,1,0,0,0,1,1,8.16080392095467,5,8.16080392095467
5,0,0,1,1,1,0,0,0,1,1,5.74300318780948,5,0
5,0,0,0,1,1,0,0,0,1,0,6.80572255341699,3,0
4.5,0,0,0,1,1,0,0,0,1,0,8.41493895737748,3,0
4.5,1,0,0,1,1,0,0,0,1,1,5.46383180502561,5,5.46383180502561
4.5,1,0,0,0,1,1,0,0,1,0,8.79346036105272,4,8.79346036105272
5,0,0,0,1,0,1,0,0,1,0,7.86172707782398,3,0
4,1,0,1,1,1,0,0,0,0,0,5.37527840768417,4,5.37527840768417
4,1,0,1,1,0,1,0,0,1,0,6.5366915975913,5,6.5366915975913
4.5,0,0,1,1,1,0,0,0,1,1,6.70808408385307,5,0
4,1,0,1,1,1,0,0,0,1,0,6.89972310728487,5,6.89972310728487
4.5,1,0,0,1,1,0,0,0,1,1,8.1721644521119,5,8.1721644521119
4.5,0,0,1,1,0,1,0,0,1,1,8.20521842639541,5,0
4.5,0,0,0,1,1,0,0,0,1,1,5.59842195899838,4,0
4.5,1,0,0,1,1,0,0,0,1,0,7.98241634682773,4,7.98241634682773
4.5,0,0,1,0,1,1,0,0,1,0,7.78945456608667,4,0
4.5,1,0,0,1,1,0,0,0,1,1,6.39024066706535,5,6.39024066706535
4.5,0,0,0,1,1,0,0,0,0,0,4.21950770517611,2,0
4,0,0,1,1,1,0,0,0,1,0,6.71901315438526,4,0
4,1,1,0,1,1,1,1,0,1,0,7.37337430991005,7,7.37337430991005
4,0,0,0,1,1,0,0,0,0,0,4.40671924726425,2,0
4.5,1,0,0,1,1,0,0,0,1,0,5.11198778835654,4,5.11198778835654
4.5,1,0,0,1,0,0,1,0,0,0,3.61091791264422,3,3.61091791264422
3,0,0,0,1,1,0,0,0,0,0,4.61512051684126,2,0
2.5,0,0,0,0,1,1,0,0,0,0,5.16478597392351,2,0
5,1,0,0,1,1,0,0,0,1,0,7.2152399787301,4,7.2152399787301
5,0,0,1,1,1,0,0,0,1,1,7.25700270709207,5,0
4.5,1,0,0,1,1,0,0,0,1,0,7.83320394864106,4,7.83320394864106
5,0,0,0,1,1,0,0,0,1,0,7.77485576666552,3,0
4.5,0,0,1,1,1,0,0,0,1,0,6.07304453410041,4,0
4.5,0,0,1,1,1,0,0,0,1,0,7.02019070831193,4,0
4.5,0,0,0,1,1,0,0,0,1,1,6.3491389913798,4,0
4.5,0,0,0,1,1,0,0,0,1,1,6.33150184989369,4,0
4.5,0,0,0,1,1,0,0,0,1,1,5.40717177146012,4,0
4.5,1,0,0,1,1,0,0,0,1,1,7.46164039220858,5,7.46164039220858
4.5,1,0,0,1,1,0,0,0,1,1,6.75227037614174,5,6.75227037614174
5,1,0,0,0,1,1,0,0,1,0,5.01063529409626,4,5.01063529409626
4.5,1,0,0,1,1,0,0,0,1,0,6.06378520868761,4,6.06378520868761
4,0,0,1,1,1,0,0,0,0,0,6.37331978957701,3,0
4.5,0,0,0,1,1,0,0,0,1,1,7.38894609761844,4,0
4,0,0,0,1,0,0,1,0,1,1,7.81963630236759,4,0
4.5,1,0,0,1,1,0,0,0,1,1,6.14418563412565,5,6.14418563412565
3.5,0,0,0,1,1,0,0,0,0,0,4.4188406077966,2,0
4.5,0,0,0,0,1,1,0,0,1,1,7.52402141520612,4,0
4.5,0,0,0,1,1,0,0,0,1,0,6.76503897678054,3,0
3.5,0,0,0,1,1,0,0,0,1,1,6.09807428216624,4,0
4.5,1,0,0,1,1,0,0,0,1,1,6.03787091992214,5,6.03787091992214
4,0,0,0,1,1,0,0,0,1,1,7.58324752430336,4,0
3.5,0,0,0,0,0,1,1,0,1,0,6.5424719605068,3,0
3,0,0,1,1,0,1,0,0,0,0,6.22257626807137,3,0
4.5,0,0,0,0,0,1,1,0,1,1,8.00936307663004,4,0
4.5,0,0,0,1,1,0,0,0,1,0,7.88193748927207,3,0
4.5,0,0,0,1,0,1,0,0,1,0,8.03333401588006,3,0
5,0,0,1,1,1,0,0,0,1,0,6.29156913955832,4,0
4.5,0,0,0,1,1,0,0,0,1,0,6.89871453432999,3,0
4.5,1,0,0,1,1,0,0,0,1,1,7.1276936993474,5,7.1276936993474
4.5,0,0,0,1,1,0,0,0,1,0,4.54329478227,3,0
4.5,1,0,0,1,1,0,0,0,1,1,7.91132401896335,5,7.91132401896335
4.5,1,0,0,1,1,0,0,0,1,1,8.10621290261996,5,8.10621290261996
4,0,0,0,1,0,0,1,0,1,0,7.31721240835984,3,0
4.5,1,0,1,1,1,0,0,0,1,0,7.27031288607902,5,7.27031288607902
5,0,0,0,1,1,0,0,0,1,1,4.76217393479776,4,0
4,0,0,0,1,1,0,0,0,0,0,6.99025650049388,2,0
3.5,0,0,0,0,1,1,0,0,0,0,6.73459165997295,2,0
4.5,1,0,0,1,1,0,0,0,1,0,6.13339804299665,4,6.13339804299665
4.5,0,0,0,1,1,0,0,0,0,1,4.39444915467244,3,0
4.5,0,0,0,1,1,0,0,0,1,0,5.46383180502561,3,0
5,1,1,1,1,1,1,1,0,1,0,5.80513496891649,8,5.80513496891649
